node,long,lat
11298,-97.03805556,32.89694444
11308,-85.44944444,31.32111111
11315,-102.80194444,46.79722222
11337,-92.19361111,46.84194444
11413,-107.75388889,37.15138889
11423,-93.66305556,41.53388889
11433,-83.35333333,42.2125
11471,-91.48416667,44.86583333
11481,-85.79555556,30.35833333
11503,-106.91583333,39.64277778
11525,-115.79166667,40.825
11537,-76.89194444,42.15972222
11540,-106.37638889,31.80722222
11603,-123.21194444,44.12444444
11612,-87.53083333,38.03833333
11617,-77.04305556,35.07277778
11618,-74.16861111,40.6925
11624,-81.75944444,24.55611111
11630,-147.85638889,64.815
11637,-96.81583333,46.92055556
11638,-119.71888889,36.77666667
11641,-78.88027778,34.99111111
11648,-114.25611111,48.31055556
11695,-111.66916667,35.14027778
11697,-80.15277778,26.0725
11721,-83.74361111,42.96555556
11726,-95.66361111,38.95083333
11775,-96.74194444,43.58194444
11778,-94.3675,35.33666667
11823,-85.19527778,40.97833333
11865,-105.53944444,44.34888889
11867,-100.72444444,37.9275
11884,-117.53527778,47.61916667
11905,-94.71138889,32.38388889
11921,-108.52666667,39.1225
11953,-82.27166667,29.69
11973,-89.07,30.40722222
11977,-88.12972222,44.48472222
11980,-98.30972222,40.9675
11982,-97.82888889,31.06722222
11986,-85.52277778,42.88083333
11995,-79.94111111,36.10138889
11996,-82.21888889,34.89555556
12003,-111.37055556,47.48277778
12007,-88.59138889,33.44833333
12012,-106.93305556,38.53388889
12016,144.79722222,13.48388889
12094,-107.21777778,40.48111111
12129,-92.83888889,47.38666667
12156,-111.98277778,46.60694444
12173,-157.92027778,21.31777778
12177,-103.21722222,32.6875
12191,-95.27888889,29.64555556
12197,-73.7075,41.06694444
12206,-97.65527778,26.22722222
12217,-86.775,34.63722222
12264,-77.46,38.9475
12266,-95.34138889,29.98444444
12278,-97.43305556,37.65
12280,-112.07083333,43.51361111
12320,-75.60666667,39.67861111
12323,-77.90277778,34.27111111
12335,-88.11444444,45.81833333
12339,-86.29472222,39.71722222
12343,-93.40222222,48.56555556
12389,-103.64222222,48.17805556
12391,-73.10027778,40.79527778
12402,-155.04833333,19.72027778
12441,-110.73777778,43.60722222
12448,-90.07583333,32.31111111
12451,-81.68777778,30.49416667
12478,-73.77888889,40.63972222
12511,-94.49833333,37.15194444
12523,-134.57472222,58.35472222
12758,-156.04555556,19.73888889
12819,-131.71111111,55.35416667
12884,-84.58611111,42.77861111
12888,-105.675,41.31194444
12889,-115.15222222,36.08
12891,-98.41666667,34.56777778
12892,-118.40805556,33.9425
12896,-101.82055556,33.66361111
12915,-93.22333333,30.12611111
12945,-84.60861111,38.03666667
12951,-91.98777778,30.205
12953,-73.8725,40.77722222
12954,-118.15166667,33.81777778
12982,-159.33888889,21.97611111
12992,-92.22472222,34.72944444
13024,-121.73305556,42.15611111
13029,-96.75916667,40.85083333
13061,-99.46166667,27.54416667
13076,-91.25666667,43.87916667
13127,-117.01527778,46.37444444
13158,-102.20194444,31.9425
13184,-84.07972222,43.53305556
13198,-94.71388889,39.2975
13204,-81.30888889,28.42944444
13230,-76.7625,40.19305556
13232,-87.7525,41.78583333
13244,-89.97666667,35.0425
13256,-98.23861111,26.17583333
13264,-122.87361111,42.37416667
13277,-86.39388889,32.30055556
13290,-96.67166667,39.14111111
13296,-71.43583333,42.93277778
13303,-80.29,25.79527778
13342,-87.89694444,42.94694444
13344,-86.2375,43.16888889
13360,-80.64527778,28.10277778
13367,-90.5075,41.44833333
13377,-92.03777778,32.51083333
13388,-118.85138889,37.63111111
13422,-88.24277778,30.69138889
13424,-120.95444444,37.62583333
13433,-101.27805556,48.25777778
13459,-87.39527778,46.35361111
13476,-121.84305556,36.58694444
13485,-89.3375,43.14
13486,-114.09055556,46.91638889
13487,-93.22166667,44.88194444
13495,-90.25916667,29.99333333
13502,-107.89416667,38.50972222
13577,-78.92833333,33.67972222
13795,-77.61222222,34.82916667
13796,-122.22138889,37.72277778
13830,-156.43055556,20.89861111
13851,-97.60083333,35.39305556
13871,-95.89416667,41.30305556
13873,-165.44527778,64.51222222
13891,-117.60111111,34.05611111
13930,-87.9075,41.97944444
13931,-76.20111111,36.89472222
13933,-71.87555556,42.26722222
13964,-124.24694444,43.41694444
13970,-162.59861111,66.88472222
14006,-88.77305556,37.06027778
14027,-80.09555556,26.68305556
14057,-122.59694444,45.58861111
14098,-76.49305556,37.13194444
14100,-75.24083333,39.87222222
14107,-112.01166667,33.43416667
14108,-89.69333333,40.66416667
14113,-112.59583333,42.90972222
14122,-80.23277778,40.49138889
14193,-87.18666667,30.47333333
14222,-170.71027778,-14.33
14252,-119.11916667,46.26472222
14254,-66.56305556,18.00833333
14256,-132.94611111,56.80138889
14262,-116.50666667,33.82972222
14307,-71.42833333,41.72388889
14321,-70.30861111,43.64555556
14457,-103.05722222,44.04527778
14487,-122.29333333,40.50888889
14489,-121.15,44.25416667
14492,-78.7875,35.87777778
14520,-89.46666667,45.63083333
14524,-77.31972222,37.50527778
14543,-109.06527778,41.59416667
14570,-119.76805556,39.49916667
14574,-79.97555556,37.32555556
14576,-77.67194444,43.11916667
14588,-104.53055556,33.30166667
14633,-92.5,43.90833333
14635,-81.75527778,26.53611111
14674,-106.08944444,35.61722222
14679,-117.18972222,32.73361111
14683,-98.46916667,29.53388889
14685,-81.20222222,32.1275
14689,-119.84138889,34.42611111
14696,-86.31722222,41.70833333
14698,-120.6425,35.23722222
14709,-148.46583333,70.19555556
14711,-77.84861111,40.84916667
14730,-85.73638889,38.17416667
14747,-122.31166667,47.45
14771,-122.375,37.61888889
14783,-93.38861111,37.24555556
14794,-113.51027778,37.03638889
14814,-93.82555556,32.44666667
14828,-135.36111111,57.04694444
14831,-121.92916667,37.36277778
14842,-100.49638889,31.35777778
14843,-66.00222222,18.43944444
14869,-111.97777778,40.78833333
14893,-121.59083333,38.69555556
14905,-120.45805556,34.9
14908,-117.86833333,33.67555556
14952,-89.67805556,39.84416667
14960,-98.49194444,33.98888889
14986,-82.55444444,27.39555556
15016,-90.37,38.74861111
15024,-64.97333333,18.33722222
15027,-64.80194444,17.70138889
15041,-114.29555556,43.50388889
15048,-96.38444444,42.4025
15070,-74.10472222,41.50416667
15096,-76.10638889,43.11111111
15249,-84.35083333,30.39666667
15295,-83.80777778,41.58694444
15304,-82.53333333,27.97555556
15323,-82.4075,36.47527778
15356,-74.81333333,40.27666667
15370,-95.88805556,36.19833333
15376,-110.94111111,32.11611111
15380,-85.58166667,44.74166667
15389,-114.48777778,42.48194444
15401,-93.99111111,33.45361111
15411,-95.40277778,32.35388889
15412,-83.99416667,35.81083333
15607,-83.27611111,30.78138889
15624,-86.52527778,30.48333333
15841,-132.36972222,56.48444444
15919,-94.30777778,36.28166667
15991,-139.66027778,59.50333333
16218,-114.60583333,32.65666667
